原始序号,模型名称,一级分类,二级分类,model_type,architecture,target_stem,config_instruments,config_target_instrument,大小MiB,支持状态,推荐标签,业务场景,能力,备注,分类依据
199,bs_mega_53stem_double-bass_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,double-bass,double-bass|other,double-bass,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 double-bass 定位与提取。,MVSep Mega 53-stem 命名
200,bs_mega_53stem_drums_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,drums,drums|other,drums,74.0,supported,精选,mega_53|drums|single_instrument,drums（鼓组）,推荐依据：53 分轨鼓组子模型；适合鼓组元素定位。,MVSep Mega 53-stem 命名
201,bs_mega_53stem_electric-guitar_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,electric-guitar,electric-guitar|other,electric-guitar,74.0,supported,精选,mega_53|single_instrument,guitar（吉他）,推荐依据：53 分轨吉他子模型；适合吉他声部定位。,MVSep Mega 53-stem 命名
202,bs_mega_53stem_flute_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,flute,flute|other,flute,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 flute 定位与提取。,MVSep Mega 53-stem 命名
203,bs_mega_53stem_french-horn_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,french-horn,french-horn|other,french-horn,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 french-horn 定位与提取。,MVSep Mega 53-stem 命名
204,bs_mega_53stem_glockenspiel_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,glockenspiel,glockenspiel|other,glockenspiel,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 glockenspiel 定位与提取。,MVSep Mega 53-stem 命名
205,bs_mega_53stem_guitar_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,guitar,guitar|other,guitar,74.0,supported,精选,mega_53|single_instrument,guitar（吉他）,推荐依据：53 分轨吉他子模型；适合吉他声部定位。,MVSep Mega 53-stem 命名
206,bs_mega_53stem_harmonica_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,harmonica,harmonica|other,harmonica,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 harmonica 定位与提取。,MVSep Mega 53-stem 命名
207,bs_mega_53stem_harp_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,harp,harp|other,harp,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 harp 定位与提取。,MVSep Mega 53-stem 命名
208,bs_mega_53stem_harpsichord_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,harpsichord,harpsichord|other,harpsichord,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 harpsichord 定位与提取。,MVSep Mega 53-stem 命名
209,bs_mega_53stem_hh_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,hh,hh|other,hh,74.0,supported,精选,mega_53|drums|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 hh 定位与提取。,MVSep Mega 53-stem 命名
210,bs_mega_53stem_keys_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,keys,keys|other,keys,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 keys 定位与提取。,MVSep Mega 53-stem 命名
211,bs_mega_53stem_kick_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,kick,kick|other,kick,74.0,supported,精选,mega_53|drums|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 kick 定位与提取。,MVSep Mega 53-stem 命名
212,bs_mega_53stem_lead-vocal_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,lead-vocal,lead-vocal|other,lead-vocal,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 lead-vocal 定位与提取。,MVSep Mega 53-stem 命名
213,bs_mega_53stem_mandolin_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,mandolin,mandolin|other,mandolin,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 mandolin 定位与提取。,MVSep Mega 53-stem 命名
214,bs_mega_53stem_marimba_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,marimba,marimba|other,marimba,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 marimba 定位与提取。,MVSep Mega 53-stem 命名
215,bs_mega_53stem_oboe_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,oboe,oboe|other,oboe,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 oboe 定位与提取。,MVSep Mega 53-stem 命名
216,bs_mega_53stem_organ_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,organ,organ|other,organ,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 organ 定位与提取。,MVSep Mega 53-stem 命名
217,bs_mega_53stem_percussion_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,percussion,percussion|other,percussion,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 percussion 定位与提取。,MVSep Mega 53-stem 命名
218,bs_mega_53stem_piano_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,piano,piano|other,piano,74.0,supported,精选,mega_53|single_instrument,piano（钢琴）,推荐依据：53 分轨钢琴子模型；适合钢琴提取与素材定位。,MVSep Mega 53-stem 命名
219,bs_mega_53stem_saxophone_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,saxophone,saxophone|other,saxophone,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 saxophone 定位与提取。,MVSep Mega 53-stem 命名
220,bs_mega_53stem_sitar_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,sitar,sitar|other,sitar,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 sitar 定位与提取。,MVSep Mega 53-stem 命名
221,bs_mega_53stem_snare_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,snare,snare|other,snare,74.0,supported,精选,mega_53|drums|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 snare 定位与提取。,MVSep Mega 53-stem 命名
222,bs_mega_53stem_strings_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,strings,strings|other,strings,74.0,supported,精选,mega_53|single_instrument,strings（弦乐）,推荐依据：53 分轨弦乐子模型；适合弦乐层定位与提取。,MVSep Mega 53-stem 命名
223,bs_mega_53stem_synth_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,synth,synth|other,synth,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 synth 定位与提取。,MVSep Mega 53-stem 命名
224,bs_mega_53stem_tambourine_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,tambourine,tambourine|other,tambourine,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 tambourine 定位与提取。,MVSep Mega 53-stem 命名
225,bs_mega_53stem_timpani_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,timpani,timpani|other,timpani,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 timpani 定位与提取。,MVSep Mega 53-stem 命名
226,bs_mega_53stem_toms_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,toms,toms|other,toms,74.0,supported,精选,mega_53|drums|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 toms 定位与提取。,MVSep Mega 53-stem 命名
227,bs_mega_53stem_triangle_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,triangle,triangle|other,triangle,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 triangle 定位与提取。,MVSep Mega 53-stem 命名
228,bs_mega_53stem_trombone_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,trombone,trombone|other,trombone,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 trombone 定位与提取。,MVSep Mega 53-stem 命名
229,bs_mega_53stem_trumpet_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,trumpet,trumpet|other,trumpet,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 trumpet 定位与提取。,MVSep Mega 53-stem 命名
230,bs_mega_53stem_tuba_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,tuba,tuba|other,tuba,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 tuba 定位与提取。,MVSep Mega 53-stem 命名
231,bs_mega_53stem_ukulele_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,ukulele,ukulele|other,ukulele,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 ukulele 定位与提取。,MVSep Mega 53-stem 命名
232,bs_mega_53stem_viola_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,viola,viola|other,viola,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 viola 定位与提取。,MVSep Mega 53-stem 命名
233,bs_mega_53stem_violin_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,violin,violin|other,violin,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 violin 定位与提取。,MVSep Mega 53-stem 命名
234,bs_mega_53stem_vocal_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,vocal,vocal|other,vocal,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 vocal 定位与提取。,MVSep Mega 53-stem 命名
235,bs_mega_53stem_wind-chimes_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,wind-chimes,wind-chimes|other,wind-chimes,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 wind-chimes 定位与提取。,MVSep Mega 53-stem 命名
236,bs_mega_53stem_wind_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,wind,wind|other,wind,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 wind 定位与提取。,MVSep Mega 53-stem 命名
237,bs_mega_53stem_woodwind_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,woodwind,woodwind|other,woodwind,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 woodwind 定位与提取。,MVSep Mega 53-stem 命名
238,mvsep_mega_model_bs_roformer_53_stems_v1.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,,accordion|acoustic-guitar|back-vocal|banjo|bass|bassoon|bells|bowed_strings|brass|cello|clarinet|congas|digital-piano|dobro|double-bass|drums|electric-guitar|flute|french-horn|glockenspiel|guitar|harmonica|harp|harpsichord|hh|keys|kick|lead-vocal|mandolin|marimba|oboe|organ|percussion|piano|saxophone|sitar|snare|strings|synth|tambourine|timpani|toms|triangle|trombone|trumpet|tuba|ukulele|viola|violin|vocal|wind|wind-chimes|woodwind,,1305.5,supported,精选,mega_53|drums|single_instrument|karaoke,53 stems（53分轨）,推荐依据：53 分轨模型；适合钢琴、弦乐、吉他等单乐器定位。,MVSep Mega 53-stem 命名
239,BS-Roformer-SW.ckpt,音乐多轨/分轨,六轨分离,bs_roformer,bs_roformer,drums/bass/other/vocals/guitar/piano,bass|drums|other|vocals|guitar|piano,,667.0,supported,首选,four_stem|six_stem|drums,6 stems（六分轨）,推荐依据：6 分轨强模型；输出 bass/drums/guitar/piano/vocals/other。,config 6 stems
240,gabox_karaoke_25_02_2025.ckpt,音乐多轨/分轨,六轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals/guitar/piano,bass|drums|other|vocals|guitar|piano,,870.7,supported,精选,instrumental|karaoke,instrumental / karaoke（伴奏/和声）,推荐依据：Karaoke 权重实际为单输出头；适合伴奏或和声方向实测，不作为六分轨首选。,config 6 stems
241,HTDemucs4_6stems.th,音乐多轨/分轨,六轨分离,htdemucs,htdemucs,6 stems,,,52.4,supported,精选,six_stem|four_stem,6 stems（六分轨）,推荐依据：六分轨模型；适合 bass/drums/guitar/piano/vocals/other 拆分。,6 stems 名称
242,logic_bs_roformer.ckpt,音乐多轨/分轨,六轨分离,bs_roformer,bs_roformer,drums/bass/other/vocals/guitar/piano,bass|drums|other|vocals|guitar|piano,,667.0,supported,精选,four_stem|six_stem|drums,6 stems（六分轨）,推荐依据：六分轨模型；适合 bass/drums/guitar/piano/vocals/other 拆分。,config 6 stems
243,de_big_reverb_mbr_ep_362.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,,,434.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
244,dereverb_bs_roformer_anvuew_sdr_22.5050.ckpt,混响/回声处理,去混响,bs_roformer,bs_roformer,reverb,,,195.0,supported,首选,dereverb,dereverb（去混响）,推荐依据：BS-RoFormer 去混响；适合人声/对白混响减弱。,dereverb/deverb/de_big_reverb/room 名称
245,dereverb_mdx23c_sdr_6.9096.ckpt,混响/回声处理,去混响,mdx23c,mdx23c,reverb,,,427.3,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
246,dereverb_mel_band_roformer_anvuew_sdr_19.1729.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,noreverb|reverb,noreverb,870.8,supported,首选,dereverb,dereverb（去混响）,推荐依据：MelBand 去混响强模型；适合提取干爽对白底本。,dereverb/deverb/de_big_reverb/room 名称
247,dereverb_mel_band_roformer_less_aggressive_anvuew_sdr_18.8050.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,noreverb|reverb,noreverb,870.8,supported,首选,dereverb,dereverb（去混响）,推荐依据：轻度去混响模型；适合保留自然尾音。,dereverb/deverb/de_big_reverb/room 名称
248,dereverb_mel_band_roformer_mono_anvuew.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,noreverb|reverb,noreverb,870.8,supported,首选,dereverb|spatial,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
249,dereverb_room_anvuew_sdr_13.7432.ckpt,混响/回声处理,去混响,bs_roformer,bs_roformer,reverb,noreverb|reverb,noreverb,112.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
250,dereverb_super_big_mbr_ep_346.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,dry|No dry,,434.7,supported,精选,dereverb,dereverb（去混响）,推荐依据：大参数去混响模型；适合质量优先的人声干声提取。,dereverb/deverb/de_big_reverb/room 名称
251,deverb_bs_roformer_8_256dim_8depth.ckpt,混响/回声处理,去混响,bs_roformer,bs_roformer,reverb,No Reverb|Reverb,No Reverb,162.9,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
252,deverb_bs_roformer_8_384dim_10depth.ckpt,混响/回声处理,去混响,bs_roformer,bs_roformer,reverb,noreverb|reverb,noreverb,344.8,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
253,deverb_mel_band_roformer_8_256dim_6depth.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,noreverb|reverb,noreverb,418.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
254,deverb_mel_band_roformer_8_512dim_12depth.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,noreverb|reverb,noreverb,1629.4,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
255,deverb_mel_band_roformer_ep_27_sdr_10.4567.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,,,466.9,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
256,Lead_VocalDereverb.ckpt,混响/回声处理,去混响,mel_band_roformer,mel_band_roformer,reverb,,,870.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deverb/de_big_reverb/room 名称
257,dereverb-echo_mel_band_roformer_sdr_10.0169.ckpt,混响/回声处理,去混响+去回声,mel_band_roformer,mel_band_roformer,reverb/echo,dry|No dry,,797.3,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deecho 同时出现
258,dereverb-echo_mel_band_roformer_sdr_13.4843_v2.ckpt,混响/回声处理,去混响+去回声,mel_band_roformer,mel_band_roformer,reverb/echo,dry|No dry,dry,434.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deecho 同时出现
259,dereverb_echo_mbr_fused_0.5_v2_0.25_big_0.25_super.ckpt,混响/回声处理,去混响+去回声,mel_band_roformer,mel_band_roformer,reverb/echo,,,434.7,supported,首选,dereverb,dereverb（去混响）,推荐依据：去混响专用模型；适合对白/人声混响减弱。,dereverb/deecho 同时出现
260,HTDemucs4_FT_bass.th,单乐器/单音轨,贝斯,htdemucs,htdemucs,bass,,,80.2,supported,,single_instrument,贝斯,输出目标：bass。依据：单乐器关键词命中,单乐器关键词命中
261,model_jazz_scnet_bass_drums.ckpt,单乐器/单音轨,贝斯,scnet,scnet,bass,drums|bass|piano|other,,40.5,supported,,drums|single_instrument,贝斯,输出目标：bass。依据：单乐器关键词命中,单乐器关键词命中
262,HTDemucs4_FT_drums.th,单乐器/单音轨,鼓/打击乐,htdemucs,htdemucs,drums_percussion,,,80.2,supported,,drums|single_instrument,鼓/打击乐,输出目标：drums_percussion。依据：单乐器关键词命中,单乐器关键词命中
263,model_jazz_scnet_piano_drums.ckpt,单乐器/单音轨,鼓/打击乐,scnet,scnet,drums_percussion,drums|bass|piano|other,,40.5,supported,,drums|single_instrument,鼓/打击乐,输出目标：drums_percussion。依据：单乐器关键词命中,单乐器关键词命中
264,becruily_guitar.ckpt,单乐器/单音轨,吉他,mel_band_roformer,mel_band_roformer,guitar,Guitar|Other,Guitar,43.1,supported,,single_instrument,吉他,输出目标：guitar。依据：单乐器关键词命中,单乐器关键词命中
265,model_mel_band_roformer_ep_314_sdr_7.9825.ckpt,单乐器/单音轨,吉他,mel_band_roformer,mel_band_roformer,guitar,guitar|others,guitar,263.9,supported,,single_instrument,吉他,输出目标：guitar。依据：单乐器关键词命中,单乐器关键词命中
266,gilliaan_bowedstrings_bs_v1.ckpt,单乐器/单音轨,弦乐,bs_roformer,bs_roformer,strings,strings|other,,289.4,supported,,single_instrument,弦乐,输出目标：strings。依据：单乐器关键词命中,单乐器关键词命中
267,gilliaan_MonoStereo_Dual_Beta1.ckpt,声像/空间分离,单声道/立体声分离,mel_band_roformer,mel_band_roformer,mono/stereo,center|wide,,829.4,supported,,spatial,单声道/立体声分离,输出目标：mono/stereo。依据：mono/stereo duality 名称,mono/stereo duality 名称
268,gilliaan_MonoStereo_Dual_Beta2.ckpt,声像/空间分离,单声道/立体声分离,mel_band_roformer,mel_band_roformer,mono/stereo,center|wide,,829.4,supported,,spatial,单声道/立体声分离,输出目标：mono/stereo。依据：mono/stereo duality 名称,mono/stereo duality 名称
269,gilliaan_CenterExtractor_Single_StemV1.ckpt,声像/空间分离,中央/宽声像提取,bs_roformer,bs_roformer,center/wide,center|wide,center,195.0,supported,精选,spatial,center/wide（声像空间）,推荐依据：声像空间剖离；适合中心结像与宽声场环境音拆分。,phantom/center/wide 名称
270,gilliaan_CenterExtractor_Single_StemV2.ckpt,声像/空间分离,中央/宽声像提取,bs_roformer,bs_roformer,center/wide,center|wide,center,195.0,supported,,spatial,中央/宽声像提取,输出目标：center/wide。依据：phantom/center/wide 名称,phantom/center/wide 名称
271,gilliaan_mdx23c_centerwide_v1.ckpt,声像/空间分离,中央/宽声像提取,mdx23c,mdx23c,center/wide,center|wide,wide,417.3,supported,,spatial,中央/宽声像提取,输出目标：center/wide。依据：phantom/center/wide 名称,phantom/center/wide 名称
272,gilliaan_scnet_centerwide_dual.ckpt,声像/空间分离,中央/宽声像提取,scnet,scnet,center/wide,center|wide,,204.1,supported,,spatial,中央/宽声像提取,输出目标：center/wide。依据：phantom/center/wide 名称,phantom/center/wide 名称
273,model_htdemucs_ep_21_sdr_13.6970.ckpt,特殊目标/差异提取,相似/差异分离,htdemucs,htdemucs,similarity/difference,similarity|difference,,160.3,supported,,,相似/差异分离,输出目标：similarity/difference。依据：config instruments=Similarity/Difference,config instruments=Similarity/Difference
274,model_mdx23c_ep_271_l1_freq_72.2383.ckpt,特殊目标/差异提取,相似/差异分离,mdx23c,mdx23c,similarity/difference,similarity|difference,similarity,417.3,supported,,,相似/差异分离,输出目标：similarity/difference。依据：config instruments=Similarity/Difference,config instruments=Similarity/Difference
275,model_scnet_ep_102_sdr_12.8941.ckpt,特殊目标/差异提取,相似/差异分离,scnet,scnet,similarity/difference,similarity|difference,difference,40.5,supported,,,相似/差异分离,输出目标：similarity/difference。依据：config instruments=Similarity/Difference,config instruments=Similarity/Difference
276,model_scnet_ep_30_sdr_15.1291.ckpt,特殊目标/差异提取,相似/差异分离,scnet,scnet,similarity/difference,similarity|difference,difference,40.5,supported,,,相似/差异分离,输出目标：similarity/difference。依据：config instruments=Similarity/Difference,config instruments=Similarity/Difference
277,aspiration_mel_band_roformer_less_aggr_sdr_18.1201.ckpt,人声,气声/呼吸声分离,mel_band_roformer,mel_band_roformer,breath,,,797.3,supported,首选,vocal|breath,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,aspiration/气声模型名称
278,aspiration_mel_band_roformer_sdr_18.9845.ckpt,人声,气声/呼吸声分离,mel_band_roformer,mel_band_roformer,breath,,,797.3,supported,精选,vocal|breath,breath（呼吸/齿音）,推荐依据：呼吸声目标模型；适合呼吸、齿音提取或抑制。,aspiration/气声模型名称
279,model_scnet_ep_36_sdr_5.4596.ckpt,人声,合唱/人群歌声分离,scnet,scnet,choir,alto|bass|soprano|tenor,,40.5,supported,精选,vocal|denoise|choir,choir（合唱）,推荐依据：合唱/人声子轨模型；适合合唱、重叠人声测试。,choir 名称
280,model_scnet_ep_42_sdr_5.2559.ckpt,人声,合唱/人群歌声分离,scnet,scnet,choir,alto|bass|soprano|tenor,,40.5,supported,精选,vocal|denoise|choir,choir（合唱）,推荐依据：输出目标 choir；适合合唱提取，需按素材实测。,choir 名称
281,model_scnet_masked_ep_14_sdr_6.3693.ckpt,人声,合唱/人群歌声分离,scnet,scnet,choir,soprano|alto|tenor|bass,,40.6,supported,精选,vocal|denoise|choir,choir（合唱）,推荐依据：合唱/人声子轨模型；适合合唱、重叠人声测试。,choir 名称
282,model_scnet_masked_ep_14_sdr_6.9052.ckpt,人声,合唱/人群歌声分离,scnet,scnet,choir,soprano|alto|tenor|bass,,40.6,supported,精选,vocal|denoise|choir,choir（合唱）,推荐依据：合唱子轨模型；适合 soprano/alto/tenor/bass 测试。,choir 名称
283,model_mel_band_roformer_ep_0_sdr_7.9319_fixed.ckpt,人声,双人/二重唱分离,mel_band_roformer,mel_band_roformer,vocals,singer_1|singer_2,,601.0,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,duet/deux 名称
284,speech_bs_roformer_AliceN_sdr_20.4440.ckpt,人声,语音/说话人声分离,bs_roformer,bs_roformer,speech,vocals|other,vocals,97.6,supported,精选,vocal|denoise,speech（语音增强）,推荐依据：语音增强模型；适合对白清晰度提升。,speech 名称
285,speech_mel_roformer_AliceN_sdr_16.5716.ckpt,人声,语音/说话人声分离,mel_band_roformer,mel_band_roformer,speech,vocals|other,,414.9,supported,精选,vocal|denoise,speech（语音增强）,推荐依据：MelBand 语音增强模型；适合对白清晰度提升。,speech 名称
286,16k_Vocal_Lightweight_MelBandRoformer.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|instrumental,vocals,57.2,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config 确认
287,big_beta5e.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1411.2,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
288,big_beta6.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1484.9,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
289,big_beta6x.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1629.4,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
290,big_beta7.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,900.9,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
291,BS-Roformer-Resurrection.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,vocals|other,vocals,195.0,supported,首选,vocal,vocals（人声）,推荐依据：BS-RoFormer 人声模型；适合高质量通用人声分离。,config target_instrument=vocals
